game_id,home_team_x,away_team_x,home_team_runs,away_team_runs,total_runs,home_team_win,run_differential,home_team_hits,away_team_hits,home_team_errors,away_team_errors,home_team_leftonbase,away_team_leftonbase,home_team_strikeouts_pitched,away_team_strikeouts_pitched,total_strikeouts,home_starting_pitcher_id,away_starting_pitcher_id,home_starting_lineup,away_starting_lineup,game_date,home_team_y,away_team_y,temperature_f,humidity_pct,wind_speed_mph,wind_direction,precipitation_in,weather_condition,umpire_zone_size,umpire_consistency,umpire_favor_factor,umpire_runs_impact,umpire_strikeout_impact,ballpark_run_factor,ballpark_hr_factor,ballpark_hitter_friendly_score,temp_factor,wind_factor,humidity_factor,precipitation_factor,weather_score,umpire_strikeout_boost,umpire_runs_boost,umpire_consistency_factor,home_power_context_advantage,away_power_context_advantage,home_contact_context_advantage,away_contact_context_advantage,total_runs_context_factor,total_strikeouts_context_factor,home_advantage_score,away_advantage_score
744795,WSH,KC,0,3,3,0,-3,2,7,0,1,7,6,6,7,13,687792,547179,"686611,695578,671277,677588,608336,545121,686452,696285,683083","502054,677951,686681,666023,493329,543257,592669,672580,664728",2025-05-04,WSH,KC,80.96148686793144,43.84690189896748,12.859942924552326,SE,0.0989184198415198,Clear,101.11481578654308,75.44946760218599,4.27506074577341,0.6923909080326213,2.283224675021273,0.0706777980685149,-0.037502664059616,90.17974056415616,0.548074343396572,1.2859942924552326,-0.5384366033677507,-0.0989184198415198,0.2991784031606335,2.283224675021273,0.6923909080326213,-0.303368826520934,-1,-1,-1,-1,0.3540823697539232,1.784609483738253,-1,-1
744796,WSH,KC,4,7,11,0,-3,7,8,1,1,4,6,4,6,10,571578,608379,"686611,695578,671117,671277,677588,660688,608336,696285,683083","502054,677951,521692,493329,666023,680118,686681,664728,624428",2025-05-04,WSH,KC,70.3639438477566,84.36562210984445,7.887587502877583,W,0.2026604386175897,Partly Cloudy,96.75128428899691,93.40921198036548,1.2267258795289866,-0.6431331556215248,1.6337043460623777,-0.0909276570458814,-0.0737977234798241,104.57108100589082,0.01819719238783,0.7887587502877583,0.8121874036614817,-0.2026604386175897,0.35412072692987,1.6337043460623777,-0.6431331556215248,0.893947465357699,-1,-1,-1,-1,-0.1266466952458454,1.211231548175068,-1,-1
744797,WSH,PHI,9,1,10,1,8,16,4,1,2,10,4,8,4,12,592866,624133,"686611,695578,660766,660688,656448,671277,545121,696285,683083","656941,624641,665019,642215,664761,681082,592663,669016,669720",2025-05-04,WSH,PHI,61.89350736833489,71.20647932256409,14.715913524012004,S,0.1678905769391716,Cloudy,102.4666303102704,92.99748129847724,-2.164246919269198,-0.3571234032999826,-0.4248523484572571,0.0877421242076565,0.0893580520589489,99.0129774327711,-0.4053246315832556,1.4715913524012003,0.3735493107521364,-0.1678905769391716,0.3179813636577273,-0.4248523484572571,-0.3571234032999826,0.866498753231815,-1,-1,-1,-1,0.016200028188467,0.5233695019719715,-1,-1
744798,WSH,PHI,3,6,9,0,-3,11,9,0,0,9,5,6,14,20,663623,605400,"671277,695578,660766,677588,686611,702358,686452,696285,671117","656941,671083,642215,681082,664761,669016,665019,624641,596117",2025-05-04,WSH,PHI,82.44290671069196,60.890688485339865,14.323898109545382,SE,0.0424124702608984,Clear,101.91370511517908,71.85589070882541,-0.6386168196154843,0.2039346882385162,1.8459550717119708,-0.0402019704506596,0.1203775611702262,104.48817051306716,0.6221453355345978,1.4323898109545383,0.0296896161779955,-0.0424124702608984,0.5104530731015583,1.8459550717119708,0.2039346882385162,-0.5429406194116392,-1,-1,-1,-1,0.2247285969631383,1.639172441333255,-1,-1
744799,WSH,PHI,6,3,9,1,3,9,5,0,0,5,4,12,14,26,669022,554430,"671277,695578,660688,677588,660766,686611,608336,696285,683083","656941,607208,547180,592206,664761,592663,681082,642215,665019",2025-05-04,WSH,PHI,59.710178624776844,75.0239993322125,7.518882567811546,N,0.4595147273832506,Clear,103.44636003437792,74.08092904742999,-1.8455449660308,0.2510934419504183,-0.3775977287620327,-0.0733573464093479,0.0828608677439055,104.45706785368304,-0.5144910687611578,0.7518882567811546,0.5007999777404166,-0.4595147273832506,0.0696706095942906,-0.3775977287620327,0.2510934419504183,-0.394604730171334,-1,-1,-1,-1,0.082468901711787,0.1871452640095609,-1,-1
744800,WSH,MIA,4,1,5,1,3,4,8,0,3,3,7,6,9,15,687792,665795,"686611,695578,665953,677588,671277,608336,686452,696285,683083","669364,681393,669394,681146,672640,669065,660821,663743,691594",2025-05-04,WSH,MIA,72.26012541690733,54.90061703230232,9.49142627736778,N,0.4699529121703884,Clear,97.0007118691672,72.90371484587169,-3.867184071520653,-0.9905462676304682,-1.8183571111170889,0.0933521203567946,-0.073018533963686,95.928641351965,0.1130062708453664,0.949142627736778,-0.1699794322565895,-0.4699529121703884,0.1055541385387916,-1.8183571111170889,-0.9905462676304682,-0.4730856769418873,-1,-1,-1,-1,-0.2638800029116273,-0.4346072416901554,-1,-1
744801,WSH,MIA,4,3,7,1,1,8,6,2,0,5,5,9,4,13,669022,670124,"686611,695578,665953,671277,677588,660688,608336,696285,683083","669364,681393,669394,660821,681146,672640,682073,663743,640902",2025-05-04,WSH,MIA,50.16835502645481,83.65592480910178,1.651813311875057,S,0.4339882050180531,Clear,97.6183506049502,82.8982166640673,-1.4061860244386524,-0.5636638919111202,0.5352355476653982,0.0138081182223506,-0.006069694313357,101.42031833644091,-0.9915822486772594,0.1651813311875057,0.7885308269700592,-0.4339882050180531,-0.1179645738844369,0.5352355476653982,-0.5636638919111202,0.1932144442711537,-1,-1,-1,-1,-0.2226067825244021,0.3502084394264519,-1,-1
744802,WSH,KC,0,1,1,0,-1,5,8,2,0,7,11,12,9,21,680730,666142,"686611,695578,660766,677588,660688,671277,696285,545121,608336","502054,677951,521692,669004,666023,680118,672580,686681,664728",2025-05-04,WSH,KC,75.82270517551811,77.05981489974735,1.914908124103796,SE,0.0058569641308103,Clear,98.14665846356122,78.0521317418095,3.774083721508453,0.1756703049968406,-0.2436058324953103,0.0885242629414571,-0.1298715720305981,95.25384633397306,0.2911352587759054,0.1914908124103796,0.568660496658245,-0.0058569641308103,0.2613574009284299,-0.2436058324953103,0.1756703049968406,-0.1298578838793664,-1,-1,-1,-1,0.1751839896222425,-0.0260575100424653,-1,-1
744803,WSH,MIA,4,1,5,1,3,8,6,1,0,5,5,11,9,20,571578,678368,"686611,695578,660766,671277,677588,660688,608336,696285,683083","669364,681393,669394,681146,660821,672640,691594,669065,640902",2025-05-04,WSH,MIA,56.58866082776477,63.95247416482549,3.709222157007516,SW,0.2433959540756289,Cloudy,104.00526687084538,86.66475503949394,2.87771890610825,-0.4396906726769699,-1.423945961371473,-0.0606554012016414,-0.1024042319027042,94.89674453207338,-0.6705669586117615,0.3709222157007516,0.1317491388275163,-0.2433959540756289,-0.1028228895397806,-1.423945961371473,-0.4396906726769699,0.4443170026329293,-1,-1,-1,-1,-0.201056321139464,-0.5265118728353606,-1,-1
744804,WSH,ATL,5,1,6,1,4,13,6,1,0,6,6,8,10,18,663623,608331,"682928,686611,665953,695578,660766,677588,660688,545121,696285","671739,624585,542303,621566,606115,657656,669221,624415,570482",2025-05-04,WSH,ATL,68.75766659011686,82.22860389703985,9.356105162009897,NE,0.4013870427332982,Light Rain,104.73891413697542,84.65488525379462,2.11842112739812,-0.2161119583020124,-0.5198556787986595,0.0595279530526784,0.0328797054003014,108.83136098895086,-0.0621166704941572,0.9356105162009896,0.7409534632346616,-0.4013870427332982,0.3032650665520489,-0.5198556787986595,-0.2161119583020124,0.3103256835863078,-1,-1,-1,-1,0.0488936871009049,0.2078774187011651,-1,-1
